scenario_id,site_id,site_name,horizon_year,case,ports,charger_power_kW,spare_capacity_kW,service_capacity_kW,capacity_basis,capacity_source,base_load_mean_kW,base_load_peak_kW,arrival_start_hr,arrival_end_hr,dwell_hr,sessions_per_day,energy_per_session_kWh,managed_charging_policy,model_rank,electrical_risk_level,source_note
SYN002_2026_baseline,SYN002,Synthetic Site 02,2026,baseline,2,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,39.0,51.7,10.0,17.0,1.5,1.51,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN002_2036_base,SYN002,Synthetic Site 02,2036,base,2,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,39.0,51.7,10.0,17.0,1.5,2.3,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN002_2036_high,SYN002,Synthetic Site 02,2036,high,4,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,39.0,51.7,10.0,17.0,1.5,4.28,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN002_2036_stress_combined,SYN002,Synthetic Site 02,2036,stress_combined,4,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,39.0,51.7,10.0,17.0,1.5,6.88,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN002_2046_base,SYN002,Synthetic Site 02,2046,base,4,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,39.0,51.7,10.0,17.0,1.5,7.96,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN002_2046_high,SYN002,Synthetic Site 02,2046,high,4,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,39.0,51.7,10.0,17.0,1.5,6.02,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN002_2046_stress_combined,SYN002,Synthetic Site 02,2046,stress_combined,6,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,39.0,51.7,10.0,17.0,1.5,10.23,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN002_2056_base,SYN002,Synthetic Site 02,2056,base,2,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,39.0,51.7,10.0,17.0,1.5,3.92,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN002_2056_high,SYN002,Synthetic Site 02,2056,high,8,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,39.0,51.7,10.0,17.0,1.5,12.87,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN002_2056_stress_combined,SYN002,Synthetic Site 02,2056,stress_combined,6,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,39.0,51.7,10.0,17.0,1.5,9.77,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN003_2026_baseline,SYN003,Synthetic Site 03,2026,baseline,2,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,43.5,66.4,9.0,15.0,2.0,1.77,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN003_2036_base,SYN003,Synthetic Site 03,2036,base,4,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,43.5,66.4,9.0,15.0,2.0,5.12,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN003_2036_high,SYN003,Synthetic Site 03,2036,high,4,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,43.5,66.4,9.0,15.0,2.0,5.34,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN003_2036_stress_combined,SYN003,Synthetic Site 03,2036,stress_combined,6,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,43.5,66.4,9.0,15.0,2.0,6.5,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN003_2046_base,SYN003,Synthetic Site 03,2046,base,6,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,43.5,66.4,9.0,15.0,2.0,8.2,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN003_2046_high,SYN003,Synthetic Site 03,2046,high,4,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,43.5,66.4,9.0,15.0,2.0,5.11,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN003_2046_stress_combined,SYN003,Synthetic Site 03,2046,stress_combined,8,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,43.5,66.4,9.0,15.0,2.0,11.37,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN003_2056_base,SYN003,Synthetic Site 03,2056,base,4,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,43.5,66.4,9.0,15.0,2.0,4.93,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN003_2056_high,SYN003,Synthetic Site 03,2056,high,6,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,43.5,66.4,9.0,15.0,2.0,6.51,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN003_2056_stress_combined,SYN003,Synthetic Site 03,2056,stress_combined,8,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,43.5,66.4,9.0,15.0,2.0,16.74,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN004_2026_baseline,SYN004,Synthetic Site 04,2026,baseline,2,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,48.0,65.7,7.0,11.0,4.0,0.35,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN004_2036_base,SYN004,Synthetic Site 04,2036,base,2,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,48.0,65.7,7.0,11.0,4.0,0.66,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN004_2036_high,SYN004,Synthetic Site 04,2036,high,2,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,48.0,65.7,7.0,11.0,4.0,0.9,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN004_2036_stress_combined,SYN004,Synthetic Site 04,2036,stress_combined,2,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,48.0,65.7,7.0,11.0,4.0,1.03,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN004_2046_base,SYN004,Synthetic Site 04,2046,base,2,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,48.0,65.7,7.0,11.0,4.0,0.98,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN004_2046_high,SYN004,Synthetic Site 04,2046,high,2,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,48.0,65.7,7.0,11.0,4.0,1.32,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN004_2046_stress_combined,SYN004,Synthetic Site 04,2046,stress_combined,4,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,48.0,65.7,7.0,11.0,4.0,1.52,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN004_2056_base,SYN004,Synthetic Site 04,2056,base,2,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,48.0,65.7,7.0,11.0,4.0,1.19,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN004_2056_high,SYN004,Synthetic Site 04,2056,high,4,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,48.0,65.7,7.0,11.0,4.0,1.61,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN004_2056_stress_combined,SYN004,Synthetic Site 04,2056,stress_combined,4,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,48.0,65.7,7.0,11.0,4.0,1.84,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN005_2026_baseline,SYN005,Synthetic Site 05,2026,baseline,2,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,52.5,82.2,8.0,16.0,3.0,1.87,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN005_2036_base,SYN005,Synthetic Site 05,2036,base,6,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,52.5,82.2,8.0,16.0,3.0,4.65,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN005_2036_high,SYN005,Synthetic Site 05,2036,high,8,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,52.5,82.2,8.0,16.0,3.0,6.22,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN005_2036_stress_combined,SYN005,Synthetic Site 05,2036,stress_combined,8,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,52.5,82.2,8.0,16.0,3.0,9.31,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN005_2046_base,SYN005,Synthetic Site 05,2046,base,8,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,52.5,82.2,8.0,16.0,3.0,7.95,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN005_2046_high,SYN005,Synthetic Site 05,2046,high,8,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,52.5,82.2,8.0,16.0,3.0,12.06,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN005_2046_stress_combined,SYN005,Synthetic Site 05,2046,stress_combined,8,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,52.5,82.2,8.0,16.0,3.0,10.89,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN005_2056_base,SYN005,Synthetic Site 05,2056,base,8,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,52.5,82.2,8.0,16.0,3.0,9.59,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN005_2056_high,SYN005,Synthetic Site 05,2056,high,8,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,52.5,82.2,8.0,16.0,3.0,7.27,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN005_2056_stress_combined,SYN005,Synthetic Site 05,2056,stress_combined,8,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,52.5,82.2,8.0,16.0,3.0,10.54,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN006_2026_baseline,SYN006,Synthetic Site 06,2026,baseline,2,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,57.0,76.3,10.0,17.0,1.5,1.93,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN006_2036_base,SYN006,Synthetic Site 06,2036,base,4,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,57.0,76.3,10.0,17.0,1.5,4.71,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN006_2036_high,SYN006,Synthetic Site 06,2036,high,4,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,57.0,76.3,10.0,17.0,1.5,4.28,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN006_2036_stress_combined,SYN006,Synthetic Site 06,2036,stress_combined,4,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,57.0,76.3,10.0,17.0,1.5,7.15,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN006_2046_base,SYN006,Synthetic Site 06,2046,base,6,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,57.0,76.3,10.0,17.0,1.5,8.23,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN006_2046_high,SYN006,Synthetic Site 06,2046,high,6,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,57.0,76.3,10.0,17.0,1.5,9.67,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN006_2046_stress_combined,SYN006,Synthetic Site 06,2046,stress_combined,8,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,57.0,76.3,10.0,17.0,1.5,12.18,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN006_2056_base,SYN006,Synthetic Site 06,2056,base,4,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,57.0,76.3,10.0,17.0,1.5,5.71,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN006_2056_high,SYN006,Synthetic Site 06,2056,high,6,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,57.0,76.3,10.0,17.0,1.5,8.94,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN006_2056_stress_combined,SYN006,Synthetic Site 06,2056,stress_combined,8,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,57.0,76.3,10.0,17.0,1.5,16.85,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
SYN007_2026_baseline,SYN007,Synthetic Site 07,2026,baseline,2,19.2,,,placeholder,synthetic fixture; capacity deliberately undefined to exercise the fail-closed guard,61.5,83.3,9.0,15.0,2.0,2.6,9.5,none,,,SYNTHETIC harness fixture - not project data. Generated by scripts/make_harness_fixture.py to exercise the MATLAB pipeline in a public CI runner. Values are fabricated; no row corresponds to any real facility. CAPACITY IS A PLANNING PLACEHOLDER - no feasibility claim permitted.
